epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/factor_loss,train/counterfactual_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/factor_loss,val/counterfactual_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2971,2.6457,2.33565,3.24594,0,0,0.63395,0.49984,0.52886,0.26237,1.71342,1.30159,2.38062,0,0,0.00331738,0.00331738,0.0701435
2,90.8558,1.57755,1.31263,1.90751,0,0,0.72281,0.62116,0.69498,0.3919,1.37355,1.38486,1.77334,0,0,0.00643124,0.00643124,0.0399241
3,133.052,1.41503,1.24649,1.61795,0,0,0.8023,0.62748,0.71915,0.39798,1.28262,1.14269,1.61174,0,0,0.0093251,0.0093251,0.00948459
4,175.848,1.33324,1.12443,1.50428,0,0,0.74574,0.67413,0.73362,0.44791,1.21583,1.04862,1.50773,0,0,0.00901,0.00901,0.00901
5,220.659,1.23376,1.00905,1.4257,0,0,0.84909,0.69515,0.77589,0.48552,1.12315,0.9003,1.42781,0,0,0.00868,0.00868,0.00868
6,264.361,1.27351,0.90195,1.37286,0.0014,0,0.81149,0.67304,0.77026,0.46072,1.13932,0.83499,1.43024,0,0,0.00835,0.00835,0.00835
7,307.205,1.24851,0.84153,1.33075,0.00239,0,0.84491,0.70338,0.81558,0.52251,1.06088,0.78509,1.367,0,0,0.00802,0.00802,0.00802
8,351.078,1.22404,0.79396,1.29533,0.00317,0,0.85322,0.72802,0.82647,0.5457,1.03098,0.73324,1.33598,0,0,0.00769,0.00769,0.00769
9,394.731,1.23466,0.75468,1.27468,0.00394,0,0.81042,0.75887,0.83363,0.53893,0.99512,0.71298,1.3285,0,0,0.00736,0.00736,0.00736
10,438.843,1.25145,0.71821,1.2524,0.00459,0,0.82016,0.7585,0.83528,0.54501,0.98555,0.66792,1.30932,0,0,0.00703,0.00703,0.00703
11,483.785,1.27413,0.69534,1.23592,0.00519,0,0.83092,0.79832,0.85874,0.56741,0.94989,0.6632,1.28344,0,0,0.0067,0.0067,0.0067
12,527.398,1.27053,0.66087,1.20444,0.00565,0,0.91265,0.779,0.88027,0.58344,0.94284,0.61206,1.26407,0,0,0.00637,0.00637,0.00637
13,571.459,1.28269,0.64219,1.19897,0.00594,0,0.87511,0.80083,0.87545,0.57545,0.93326,0.60766,1.2613,0,0,0.00604,0.00604,0.00604
14,616.271,1.32067,0.62768,1.18525,0.00656,0,0.86177,0.82656,0.8885,0.6041,0.91138,0.59746,1.24812,0,0,0.00571,0.00571,0.00571
15,661.33,1.33878,0.6123,1.17288,0.00712,0,0.89432,0.81723,0.89533,0.60426,0.89362,0.58439,1.22754,0,0,0.00538,0.00538,0.00538
16,711.572,1.31485,0.59607,1.16019,0.00702,0,0.89829,0.81705,0.89218,0.61275,0.87791,0.57068,1.22074,0,0,0.00505,0.00505,0.00505
17,756.761,1.2829,0.57151,1.14146,0.00678,0,0.91258,0.82428,0.90741,0.61243,0.86758,0.55769,1.20914,0,0,0.00472,0.00472,0.00472
18,799.904,1.27077,0.56223,1.13553,0.00682,0,0.89575,0.82987,0.89632,0.61557,0.86486,0.55082,1.2133,0,0,0.00439,0.00439,0.00439
19,844.414,1.24111,0.54935,1.12451,0.00636,0,0.89669,0.8344,0.90617,0.62681,0.82064,0.52449,1.17962,0,0,0.00406,0.00406,0.00406
20,888.315,1.21827,0.53166,1.1103,0.00653,0,0.90843,0.83561,0.91031,0.62876,0.82857,0.53571,1.18937,0,0,0.00373,0.00373,0.00373
21,934.12,1.18221,0.52181,1.11417,0.00623,0,0.87877,0.83486,0.89957,0.62063,0.84892,0.54072,1.19702,0,0,0.0034,0.0034,0.0034
22,978.532,1.17244,0.50743,1.10138,0.00623,0,0.9156,0.83517,0.90758,0.62808,0.85125,0.53743,1.20624,0,0,0.00307,0.00307,0.00307
23,1022.12,1.15831,0.49556,1.09474,0.00609,0,0.91221,0.8274,0.91258,0.65125,0.81525,0.51536,1.17836,0,0,0.00274,0.00274,0.00274
24,1065.31,1.14001,0.48507,1.08462,0.00631,0,0.91826,0.84697,0.91169,0.64315,0.81458,0.49868,1.17423,0,0,0.00241,0.00241,0.00241
25,1109.68,1.11762,0.4708,1.07271,0.0063,0,0.9088,0.83185,0.91543,0.65516,0.80217,0.49939,1.16409,0,0,0.00208,0.00208,0.00208
26,1154.3,1.08884,0.4551,1.05145,0.00627,0,0.90193,0.8518,0.91276,0.65067,0.78356,0.47818,1.15112,0,0,0.00175,0.00175,0.00175
27,1198.12,1.07484,0.44721,1.04358,0.00614,0,0.91336,0.8516,0.91904,0.66492,0.7754,0.47676,1.14528,0,0,0.00142,0.00142,0.00142
28,1244.8,1.05976,0.43585,1.03387,0.00635,0,0.91312,0.83751,0.91822,0.66528,0.75768,0.46808,1.13624,0,0,0.00109,0.00109,0.00109
29,1288.12,1.03036,0.42801,1.01989,0.0061,0,0.92734,0.84933,0.92294,0.67838,0.74863,0.46173,1.12936,0,0,0.00076,0.00076,0.00076
30,1330.79,1.01599,0.41779,1.0159,0.00623,0,0.90393,0.87548,0.92851,0.68433,0.74268,0.45612,1.12325,0,0,0.00043,0.00043,0.00043
