epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2142,2.53671,2.29608,3.19607,0.50484,0.50819,0.46361,0.22248,1.71808,1.34134,2.36934,0.00331738,0.00331738,0.0701435
2,56.927,1.58363,1.3187,1.93046,0.70773,0.61364,0.67859,0.37734,1.3833,1.37875,1.78131,0.00643124,0.00643124,0.0399241
3,84.3974,1.42621,1.23349,1.64306,0.80978,0.64134,0.74622,0.43637,1.31192,1.11189,1.66399,0.0093251,0.0093251,0.00948459
4,112.661,1.33012,1.11713,1.51399,0.74546,0.71092,0.76081,0.47422,1.18692,1.05749,1.51082,0.00901,0.00901,0.00901
5,141.026,1.22946,0.99564,1.43002,0.75037,0.70191,0.75953,0.47418,1.14137,0.88991,1.45935,0.00868,0.00868,0.00868
6,169.447,1.17308,0.89684,1.37787,0.81019,0.71741,0.79984,0.48768,1.12025,0.85902,1.42102,0.00835,0.00835,0.00835
7,198.199,1.13456,0.83173,1.33481,0.8732,0.72477,0.81768,0.51104,1.06708,0.7724,1.37777,0.00802,0.00802,0.00802
8,226.914,1.08333,0.78739,1.29972,0.85664,0.76399,0.83541,0.52566,1.04992,0.73938,1.35017,0.00769,0.00769,0.00769
9,255.119,1.05148,0.75433,1.27531,0.8111,0.76292,0.83823,0.53378,1.04339,0.73055,1.35381,0.00736,0.00736,0.00736
10,283.973,1.02897,0.71624,1.25632,0.85666,0.76811,0.85099,0.55345,0.97454,0.66997,1.30091,0.00703,0.00703,0.00703
11,312.944,1.0009,0.6904,1.23569,0.89646,0.75593,0.86375,0.57764,0.94068,0.67485,1.27105,0.0067,0.0067,0.0067
12,341.142,0.96578,0.66252,1.20788,0.8737,0.79457,0.87124,0.5839,0.9488,0.63626,1.27148,0.00637,0.00637,0.00637
13,369.502,0.94023,0.6368,1.19992,0.87909,0.78756,0.87754,0.57888,0.92675,0.61038,1.26463,0.00604,0.00604,0.00604
14,397.651,0.93488,0.6277,1.18769,0.84133,0.81707,0.87485,0.59709,0.92441,0.59406,1.25409,0.00571,0.00571,0.00571
15,426.032,0.91499,0.60889,1.17421,0.87041,0.81115,0.87458,0.59847,0.89196,0.57337,1.23243,0.00538,0.00538,0.00538
16,454.282,0.89617,0.59209,1.16281,0.8667,0.82454,0.88532,0.61912,0.86874,0.5637,1.21024,0.00505,0.00505,0.00505
17,482.411,0.87067,0.57083,1.14338,0.91244,0.80792,0.89135,0.61914,0.86583,0.55234,1.20486,0.00472,0.00472,0.00472
18,510.553,0.85857,0.56057,1.13537,0.88374,0.81862,0.88955,0.6218,0.85656,0.53751,1.19833,0.00439,0.00439,0.00439
19,538.772,0.83905,0.54461,1.12361,0.91,0.81462,0.9,0.63275,0.82719,0.53017,1.18117,0.00406,0.00406,0.00406
20,566.937,0.81626,0.52462,1.10765,0.85895,0.8592,0.90004,0.63828,0.81367,0.52861,1.17158,0.00373,0.00373,0.00373
21,595.049,0.79904,0.51595,1.11323,0.89372,0.83068,0.89008,0.61922,0.84053,0.52417,1.18955,0.0034,0.0034,0.0034
22,623.184,0.78432,0.50434,1.09868,0.91224,0.81803,0.89676,0.62843,0.82171,0.52856,1.18259,0.00307,0.00307,0.00307
23,651.163,0.77528,0.49223,1.09237,0.90496,0.85413,0.90885,0.64493,0.80226,0.51076,1.16201,0.00274,0.00274,0.00274
24,679.398,0.75071,0.4779,1.08194,0.89729,0.84217,0.9119,0.65514,0.79895,0.49782,1.16078,0.00241,0.00241,0.00241
25,707.358,0.7337,0.46384,1.06813,0.89792,0.82957,0.90486,0.64443,0.78978,0.50296,1.1512,0.00208,0.00208,0.00208
26,735.253,0.71217,0.45013,1.04798,0.90569,0.83304,0.91789,0.64783,0.78074,0.48434,1.14815,0.00175,0.00175,0.00175
27,763.106,0.70092,0.44461,1.03865,0.9274,0.84234,0.91377,0.65735,0.76815,0.47174,1.14217,0.00142,0.00142,0.00142
28,790.777,0.68795,0.43292,1.03044,0.90735,0.84908,0.91736,0.66281,0.75423,0.46385,1.13326,0.00109,0.00109,0.00109
29,818.858,0.66586,0.42447,1.01498,0.91473,0.84461,0.91904,0.66822,0.74738,0.45807,1.12956,0.00076,0.00076,0.00076
30,846.922,0.65147,0.4149,1.01158,0.90844,0.85461,0.92794,0.67493,0.74199,0.45595,1.12593,0.00043,0.00043,0.00043
