epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3082,2.45276,2.34578,3.16629,0.50346,0.53001,0.49663,0.25321,1.66577,1.37333,2.35351,0.00331738,0.00331738,0.0701435
2,57.4231,1.56094,1.33598,1.89289,0.66576,0.64802,0.70084,0.38158,1.39352,1.53683,1.78297,0.00643124,0.00643124,0.0399241
3,85.6729,1.4257,1.23196,1.6358,0.79901,0.6606,0.73375,0.42893,1.35625,1.3079,1.66934,0.0093251,0.0093251,0.00948459
4,113.834,1.33061,1.11028,1.51202,0.76258,0.65589,0.74453,0.45446,1.19863,1.03113,1.51616,0.00901,0.00901,0.00901
5,141.911,1.22878,0.99648,1.42201,0.85218,0.66903,0.78493,0.48451,1.12068,0.90487,1.42563,0.00868,0.00868,0.00868
6,170.151,1.17204,0.89957,1.37185,0.80399,0.67807,0.77068,0.46976,1.13038,0.83337,1.42199,0.00835,0.00835,0.00835
7,197.996,1.12864,0.83346,1.32534,0.86412,0.69981,0.79846,0.50065,1.07227,0.77499,1.3869,0.00802,0.00802,0.00802
8,226.097,1.07937,0.79048,1.29074,0.82689,0.73344,0.81911,0.52455,1.03765,0.73125,1.344,0.00769,0.00769,0.00769
9,253.707,1.04874,0.74875,1.26864,0.83742,0.75087,0.83085,0.53861,1.02659,0.73878,1.33153,0.00736,0.00736,0.00736
10,281.86,1.02184,0.72136,1.24643,0.84781,0.76518,0.84656,0.55529,0.98215,0.66842,1.298,0.00703,0.00703,0.00703
11,310.778,0.99452,0.68645,1.22454,0.84179,0.78765,0.86274,0.57261,0.95253,0.64988,1.27397,0.0067,0.0067,0.0067
12,339.091,0.96255,0.66184,1.20045,0.84851,0.82321,0.87558,0.57829,0.9258,0.61618,1.25055,0.00637,0.00637,0.00637
13,367.384,0.93825,0.6372,1.19286,0.88941,0.80489,0.88551,0.58933,0.91804,0.59458,1.24659,0.00604,0.00604,0.00604
14,394.917,0.93131,0.629,1.18085,0.87466,0.82703,0.88863,0.60209,0.90571,0.58483,1.23013,0.00571,0.00571,0.00571
15,423.476,0.90976,0.61084,1.16633,0.88742,0.80376,0.88668,0.60453,0.88219,0.58063,1.21767,0.00538,0.00538,0.00538
16,451.774,0.89225,0.5936,1.15323,0.86386,0.83436,0.88704,0.60876,0.87714,0.56937,1.21196,0.00505,0.00505,0.00505
17,480.348,0.86508,0.56861,1.13115,0.91657,0.80145,0.89625,0.60335,0.87358,0.54899,1.21244,0.00472,0.00472,0.00472
18,508.555,0.85823,0.56306,1.12921,0.89412,0.81512,0.8992,0.6151,0.85367,0.54329,1.19852,0.00439,0.00439,0.00439
19,537.143,0.83899,0.5461,1.11843,0.92167,0.81931,0.89853,0.63242,0.83139,0.53033,1.18261,0.00406,0.00406,0.00406
20,564.965,0.81349,0.52688,1.10057,0.91442,0.84058,0.91293,0.62775,0.82653,0.51822,1.17656,0.00373,0.00373,0.00373
21,595.074,0.79633,0.52077,1.10695,0.87789,0.84686,0.91009,0.63293,0.84299,0.52581,1.17712,0.0034,0.0034,0.0034
22,623.662,0.78043,0.50328,1.09258,0.90748,0.83218,0.90515,0.62897,0.83066,0.51924,1.18249,0.00307,0.00307,0.00307
23,652.087,0.77074,0.48957,1.08615,0.93173,0.81453,0.90527,0.64092,0.82359,0.50904,1.16854,0.00274,0.00274,0.00274
24,680.112,0.74709,0.4804,1.07292,0.94076,0.82809,0.92233,0.65198,0.79307,0.49097,1.15473,0.00241,0.00241,0.00241
25,708.52,0.73161,0.465,1.06234,0.92696,0.83969,0.91432,0.6503,0.8041,0.50486,1.15643,0.00208,0.00208,0.00208
26,736.821,0.71069,0.45353,1.04066,0.88919,0.87345,0.92082,0.65702,0.78519,0.48487,1.14273,0.00175,0.00175,0.00175
27,764.834,0.70112,0.44787,1.03399,0.9177,0.84712,0.91978,0.66934,0.7571,0.47217,1.12446,0.00142,0.00142,0.00142
28,792.875,0.68594,0.4338,1.0249,0.92748,0.85392,0.92631,0.67007,0.7597,0.47343,1.12824,0.00109,0.00109,0.00109
29,821.07,0.66327,0.4255,1.00947,0.93863,0.85139,0.9251,0.67119,0.75184,0.45567,1.12427,0.00076,0.00076,0.00076
30,848.772,0.65206,0.41572,1.0085,0.94982,0.85016,0.93087,0.67723,0.74177,0.45148,1.11598,0.00043,0.00043,0.00043
