epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/factor_loss,train/counterfactual_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/factor_loss,val/counterfactual_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5077,2.52911,2.30743,3.14334,0,0,0.53357,0.51153,0.50323,0.24785,1.63789,1.30409,2.27976,0,0,0.00331738,0.00331738,0.0701435
2,84.4401,1.5843,1.32481,1.91579,0,0,0.69243,0.61246,0.67302,0.36663,1.39297,1.2097,1.80124,0,0,0.00643124,0.00643124,0.0399241
3,120.283,1.43172,1.2421,1.6483,0,0,0.80792,0.61692,0.70413,0.39034,1.30044,1.37097,1.67663,0,0,0.0093251,0.0093251,0.00948459
4,155.919,1.33578,1.12427,1.51617,0,0,0.78607,0.65828,0.73754,0.44782,1.19782,1.08418,1.51218,0,0,0.00901,0.00901,0.00901
5,192.659,1.23141,1.0094,1.42986,0,0,0.81759,0.67885,0.74963,0.45505,1.15516,0.9075,1.45785,0,0,0.00868,0.00868,0.00868
6,229.777,1.31435,0.90096,1.3811,0.0019,0,0.86052,0.68367,0.80446,0.50113,1.10476,0.8351,1.40054,0,0,0.00835,0.00835,0.00835
7,265.731,1.26518,0.84119,1.33531,0.00273,0,0.81098,0.72263,0.81077,0.51373,1.04683,0.78778,1.3598,0,0,0.00802,0.00802,0.00802
8,300.944,1.2348,0.79886,1.30483,0.00349,0,0.86743,0.72678,0.82765,0.53687,1.03376,0.74449,1.34294,0,0,0.00769,0.00769,0.00769
9,336.873,1.2402,0.75401,1.27621,0.00409,0,0.83821,0.76327,0.82993,0.52471,1.00965,0.73758,1.34002,0,0,0.00736,0.00736,0.00736
10,372.582,1.25731,0.724,1.258,0.00476,0,0.87008,0.75174,0.83633,0.5466,0.97725,0.6535,1.30174,0,0,0.00703,0.00703,0.00703
11,408.416,1.27724,0.69737,1.23876,0.00526,0,0.8891,0.75561,0.85096,0.5668,0.95151,0.64819,1.27826,0,0,0.0067,0.0067,0.0067
12,444.352,1.27698,0.66779,1.20939,0.0056,0,0.86964,0.77772,0.86605,0.58176,0.93911,0.61907,1.26788,0,0,0.00637,0.00637,0.00637
13,481.02,1.28923,0.64343,1.20192,0.00627,0,0.8726,0.77588,0.86646,0.57358,0.92284,0.61427,1.25925,0,0,0.00604,0.00604,0.00604
14,517.773,1.32756,0.63168,1.19108,0.00677,0,0.88095,0.80235,0.87776,0.59407,0.91832,0.6156,1.25298,0,0,0.00571,0.00571,0.00571
15,553.672,1.33708,0.61317,1.17737,0.00722,0,0.86997,0.80483,0.8799,0.60299,0.8979,0.56418,1.23558,0,0,0.00538,0.00538,0.00538
16,589.257,1.31276,0.5931,1.16135,0.0071,0,0.90348,0.80843,0.89627,0.61646,0.87465,0.55413,1.22208,0,0,0.00505,0.00505,0.00505
17,625.353,1.28698,0.57327,1.14652,0.00691,0,0.8545,0.82189,0.89193,0.6133,0.86422,0.55009,1.20948,0,0,0.00472,0.00472,0.00472
18,661.513,1.26503,0.56343,1.1372,0.00685,0,0.8902,0.80693,0.89714,0.61188,0.85949,0.54336,1.20518,0,0,0.00439,0.00439,0.00439
19,697.84,1.24263,0.54789,1.12464,0.00681,0,0.9112,0.80049,0.89645,0.6195,0.83548,0.52278,1.1953,0,0,0.00406,0.00406,0.00406
20,734.595,1.21745,0.53062,1.11204,0.00677,0,0.91536,0.84408,0.90708,0.63534,0.83355,0.52716,1.18936,0,0,0.00373,0.00373,0.00373
21,772.206,1.18958,0.52389,1.11909,0.00669,0,0.8898,0.84624,0.89891,0.63035,0.84536,0.53144,1.19439,0,0,0.0034,0.0034,0.0034
22,809.118,1.17079,0.50482,1.10255,0.00666,0,0.90767,0.80371,0.88982,0.61884,0.83577,0.52942,1.19346,0,0,0.00307,0.00307,0.00307
23,846.083,1.16412,0.49551,1.09598,0.00681,0,0.91608,0.81594,0.89893,0.64018,0.83068,0.51971,1.18221,0,0,0.00274,0.00274,0.00274
24,882.759,1.14201,0.48384,1.08785,0.00658,0,0.92276,0.81384,0.9016,0.63488,0.8148,0.50465,1.17448,0,0,0.00241,0.00241,0.00241
25,919.529,1.11949,0.46844,1.07735,0.00644,0,0.89647,0.84481,0.90958,0.63849,0.80855,0.50511,1.17248,0,0,0.00208,0.00208,0.00208
26,954.857,1.09078,0.45518,1.05443,0.00645,0,0.94434,0.83033,0.91987,0.65876,0.78875,0.48482,1.15657,0,0,0.00175,0.00175,0.00175
27,990.638,1.07821,0.44819,1.04837,0.00651,0,0.92578,0.84303,0.91679,0.65916,0.77862,0.47888,1.14676,0,0,0.00142,0.00142,0.00142
28,1027.22,1.06629,0.43797,1.03836,0.00658,0,0.92498,0.84351,0.91755,0.66988,0.76669,0.47479,1.1367,0,0,0.00109,0.00109,0.00109
29,1064.1,1.03742,0.42912,1.0236,0.00646,0,0.8949,0.85895,0.91817,0.67196,0.75493,0.46346,1.13403,0,0,0.00076,0.00076,0.00076
30,1100.45,1.02239,0.41537,1.01775,0.00658,0,0.88607,0.86654,0.92085,0.67734,0.74904,0.45763,1.1285,0,0,0.00043,0.00043,0.00043
