epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/factor_loss,train/counterfactual_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/factor_loss,val/counterfactual_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9956,2.53496,2.32197,3.20456,0,0,0.56615,0.52082,0.4967,0.20914,1.83942,1.38458,2.41903,0,0,0.00331738,0.00331738,0.0701435
2,90.8113,1.60684,1.3509,1.94234,0,0,0.61678,0.64693,0.67632,0.37034,1.37866,1.37383,1.8088,0,0,0.00643124,0.00643124,0.0399241
3,134.277,1.44281,1.25299,1.66435,0,0,0.79097,0.58733,0.69166,0.37919,1.2718,1.54244,1.61543,0,0,0.0093251,0.0093251,0.00948459
4,177.152,1.34184,1.11043,1.52415,0,0,0.76753,0.65223,0.74564,0.44534,1.18259,1.25323,1.52232,0,0,0.00901,0.00901,0.00901
5,220.956,1.23262,0.99873,1.43641,0,0,0.80284,0.67341,0.7784,0.4617,1.17531,0.92088,1.46367,0,0,0.00868,0.00868,0.00868
6,264.968,1.29772,0.89828,1.38912,0.00162,0,0.84993,0.69679,0.78345,0.47251,1.17923,0.87856,1.4506,0,0,0.00835,0.00835,0.00835
7,307.949,1.25534,0.83595,1.33406,0.00256,0,0.81846,0.72283,0.80302,0.50188,1.07918,0.78433,1.38737,0,0,0.00802,0.00802,0.00802
8,351.794,1.23166,0.78903,1.30594,0.00338,0,0.85016,0.72194,0.82251,0.52369,1.03522,0.74215,1.35084,0,0,0.00769,0.00769,0.00769
9,397.524,1.22873,0.75252,1.27687,0.00408,0,0.82918,0.75069,0.84094,0.5283,1.00292,0.71374,1.3189,0,0,0.00736,0.00736,0.00736
10,442.729,1.24743,0.71854,1.25867,0.00467,0,0.85253,0.76999,0.8581,0.55168,0.9713,0.66061,1.30199,0,0,0.00703,0.00703,0.00703
11,486.813,1.26187,0.68762,1.23492,0.00522,0,0.90322,0.75771,0.86761,0.57585,0.94522,0.63716,1.27762,0,0,0.0067,0.0067,0.0067
12,529.925,1.27311,0.66002,1.21103,0.00574,0,0.8835,0.7737,0.8627,0.56876,0.95939,0.61054,1.27745,0,0,0.00637,0.00637,0.00637
13,571.951,1.27902,0.63907,1.20274,0.00621,0,0.86795,0.79013,0.86984,0.56004,0.94403,0.60403,1.27828,0,0,0.00604,0.00604,0.00604
14,614.25,1.3115,0.6279,1.19155,0.0067,0,0.91105,0.78876,0.87894,0.60036,0.9181,0.60015,1.25534,0,0,0.00571,0.00571,0.00571
15,656.802,1.3251,0.6133,1.17567,0.00715,0,0.8992,0.79513,0.88462,0.60382,0.87383,0.55941,1.21775,0,0,0.00538,0.00538,0.00538
16,699.52,1.30054,0.58952,1.16167,0.00716,0,0.894,0.8285,0.89948,0.61984,0.87704,0.56551,1.22073,0,0,0.00505,0.00505,0.00505
17,742.496,1.27925,0.57192,1.14571,0.00724,0,0.86019,0.85098,0.89426,0.6189,0.86942,0.55571,1.21296,0,0,0.00472,0.00472,0.00472
18,788.423,1.26049,0.56249,1.13753,0.00695,0,0.86768,0.82745,0.88905,0.61185,0.84396,0.54192,1.1949,0,0,0.00439,0.00439,0.00439
19,831.43,1.23675,0.54761,1.12408,0.00679,0,0.897,0.84615,0.90513,0.63842,0.82183,0.51465,1.1779,0,0,0.00406,0.00406,0.00406
20,875.039,1.21171,0.52878,1.11059,0.00652,0,0.90184,0.84937,0.91175,0.64287,0.8229,0.51074,1.18562,0,0,0.00373,0.00373,0.00373
21,917.86,1.17917,0.51992,1.11826,0.0065,0,0.92439,0.82216,0.89648,0.62213,0.84635,0.5291,1.1966,0,0,0.0034,0.0034,0.0034
22,960.57,1.16299,0.50094,1.10108,0.00663,0,0.89997,0.83446,0.90268,0.6321,0.82931,0.51159,1.19209,0,0,0.00307,0.00307,0.00307
23,1002.65,1.1483,0.49392,1.09396,0.00663,0,0.92301,0.84197,0.90909,0.64204,0.82499,0.50452,1.17204,0,0,0.00274,0.00274,0.00274
24,1045.62,1.13148,0.47845,1.08497,0.00645,0,0.90587,0.86626,0.91968,0.65017,0.80219,0.49081,1.16512,0,0,0.00241,0.00241,0.00241
25,1088.54,1.1042,0.46666,1.072,0.00654,0,0.91563,0.84132,0.91659,0.64678,0.8022,0.49304,1.16676,0,0,0.00208,0.00208,0.00208
26,1133.15,1.08305,0.45309,1.05324,0.00652,0,0.92742,0.84188,0.91514,0.64866,0.78747,0.47586,1.1549,0,0,0.00175,0.00175,0.00175
27,1176.63,1.06917,0.44486,1.04746,0.00612,0,0.91071,0.85233,0.91471,0.6538,0.77697,0.46711,1.15145,0,0,0.00142,0.00142,0.00142
28,1221.4,1.04849,0.43074,1.03438,0.00661,0,0.92962,0.84886,0.91569,0.66238,0.76082,0.46002,1.13959,0,0,0.00109,0.00109,0.00109
29,1263.7,1.02851,0.42596,1.02453,0.00642,0,0.93529,0.84141,0.92363,0.66688,0.75351,0.45318,1.13581,0,0,0.00076,0.00076,0.00076
30,1306.3,1.0152,0.41529,1.01704,0.00654,0,0.91852,0.85766,0.92171,0.66991,0.744,0.44766,1.12851,0,0,0.00043,0.00043,0.00043
