epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/factor_loss,train/counterfactual_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/factor_loss,val/counterfactual_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0538,2.45512,2.35448,3.17818,0,0,0.54203,0.51951,0.50915,0.25246,1.65148,1.34659,2.32797,0,0,0.00331738,0.00331738,0.0701435
2,89.8389,1.56828,1.33541,1.89655,0,0,0.75938,0.59631,0.69525,0.39482,1.41633,1.18589,1.82972,0,0,0.00643124,0.00643124,0.0399241
3,131.774,1.41414,1.25476,1.63342,0,0,0.75922,0.65475,0.7192,0.40308,1.30892,1.61371,1.65178,0,0,0.0093251,0.0093251,0.00948459
4,173.926,1.34101,1.11068,1.51792,0,0,0.79482,0.65121,0.74119,0.44876,1.19556,1.00292,1.50413,0,0,0.00901,0.00901,0.00901
5,215.857,1.23368,1.00801,1.4277,0,0,0.81852,0.71681,0.79502,0.48958,1.12395,0.84134,1.42479,0,0,0.00868,0.00868,0.00868
6,259.277,1.27997,0.90537,1.37577,0.00149,0,0.84323,0.67807,0.79704,0.48838,1.14632,0.91212,1.42686,0,0,0.00835,0.00835,0.00835
7,301.642,1.24358,0.84319,1.33248,0.00244,0,0.82078,0.74761,0.80871,0.51672,1.04373,0.80279,1.35824,0,0,0.00802,0.00802,0.00802
8,343.297,1.22881,0.79257,1.29632,0.00329,0,0.8798,0.72388,0.83835,0.53713,1.01895,0.74497,1.33713,0,0,0.00769,0.00769,0.00769
9,385.432,1.23035,0.7556,1.26997,0.00388,0,0.83151,0.75192,0.82352,0.52844,1.01475,0.71132,1.33725,0,0,0.00736,0.00736,0.00736
10,427.617,1.25546,0.72508,1.25242,0.00447,0,0.8186,0.77931,0.84626,0.54513,0.97425,0.66944,1.28822,0,0,0.00703,0.00703,0.00703
11,469.836,1.26797,0.69097,1.22887,0.00502,0,0.87713,0.75586,0.85905,0.56963,0.948,0.64978,1.26954,0,0,0.0067,0.0067,0.0067
12,513.1,1.27688,0.66815,1.20711,0.00574,0,0.83058,0.82588,0.87231,0.57637,0.95539,0.63267,1.26727,0,0,0.00637,0.00637,0.00637
13,555.395,1.28505,0.64199,1.19977,0.00608,0,0.88828,0.80105,0.88313,0.59407,0.91215,0.58994,1.24277,0,0,0.00604,0.00604,0.00604
14,598.87,1.31542,0.63215,1.18559,0.00678,0,0.91654,0.79051,0.87988,0.59817,0.90454,0.6012,1.2389,0,0,0.00571,0.00571,0.00571
15,641.131,1.32895,0.61408,1.17046,0.00696,0,0.91299,0.79011,0.88852,0.60789,0.88262,0.56328,1.21385,0,0,0.00538,0.00538,0.00538
16,684.777,1.31156,0.59466,1.15925,0.00705,0,0.89754,0.81692,0.88722,0.60858,0.86541,0.57796,1.20696,0,0,0.00505,0.00505,0.00505
17,728.533,1.28058,0.57135,1.13972,0.00682,0,0.8566,0.82771,0.88941,0.61125,0.86153,0.54332,1.19418,0,0,0.00472,0.00472,0.00472
18,770.114,1.25618,0.56437,1.13114,0.00708,0,0.89592,0.83054,0.89325,0.61539,0.85363,0.54702,1.188,0,0,0.00439,0.00439,0.00439
19,812.622,1.24104,0.55045,1.1212,0.00674,0,0.9039,0.8306,0.90061,0.63098,0.825,0.52986,1.17976,0,0,0.00406,0.00406,0.00406
20,856.043,1.21047,0.53148,1.10813,0.00671,0,0.89736,0.82485,0.90064,0.63685,0.81033,0.51678,1.16796,0,0,0.00373,0.00373,0.00373
21,899.26,1.17517,0.52356,1.1099,0.0064,0,0.87878,0.82503,0.89477,0.62166,0.8371,0.53253,1.1833,0,0,0.0034,0.0034,0.0034
22,941.309,1.16913,0.51126,1.09893,0.00685,0,0.88837,0.84267,0.8993,0.6337,0.82013,0.50589,1.17481,0,0,0.00307,0.00307,0.00307
23,984.189,1.15628,0.49534,1.08894,0.00671,0,0.91941,0.827,0.90604,0.64385,0.82424,0.50864,1.17342,0,0,0.00274,0.00274,0.00274
24,1027.02,1.1327,0.48343,1.08148,0.00638,0,0.89183,0.86304,0.9081,0.65116,0.79497,0.50108,1.16006,0,0,0.00241,0.00241,0.00241
25,1069.1,1.10677,0.46744,1.06614,0.00652,0,0.8901,0.83529,0.90868,0.642,0.79935,0.50637,1.15196,0,0,0.00208,0.00208,0.00208
26,1110.79,1.08258,0.45588,1.04718,0.00651,0,0.90353,0.83227,0.91089,0.65255,0.77717,0.48123,1.14199,0,0,0.00175,0.00175,0.00175
27,1151.83,1.07012,0.44917,1.03937,0.00666,0,0.92805,0.80335,0.90501,0.65548,0.77695,0.47469,1.14199,0,0,0.00142,0.00142,0.00142
28,1194.78,1.0551,0.43566,1.02986,0.00654,0,0.9269,0.82579,0.91361,0.66381,0.76174,0.46969,1.13338,0,0,0.00109,0.00109,0.00109
29,1237.13,1.03239,0.43077,1.01812,0.00646,0,0.9111,0.83761,0.91723,0.66768,0.75179,0.46142,1.12706,0,0,0.00076,0.00076,0.00076
30,1278.54,1.01751,0.4186,1.0162,0.00666,0,0.93818,0.8257,0.91878,0.67104,0.74316,0.46092,1.11845,0,0,0.00043,0.00043,0.00043
