run,class,target,confidence_threshold,laece0,lrp,lrp_loc,lrp_fp,lrp_fn,num_valid_gt,true_positives,false_positives,false_negatives,evaluated_detections,supported
ANCHORED,Car,far_gt_40m,0.292861,0.34704250841329143,0.6799466906347041,0.4741981346141569,0.37777777777777777,0.034482758620689655,58,56,34,2,90,True
ANCHORED,Car,occlusion_2,0.292861,0.4825412985098233,0.7488364498247514,0.6681053086969929,0.21787709497206703,0.0410958904109589,146,140,39,6,179,True
ANCHORED,Car,overall,0.292861,0.05575308835953443,0.2720757477670381,0.17261679053124718,0.06826568265682657,0.0595903165735568,537,505,37,32,542,True
ANCHORED,Car,small_25_40,0.292861,0.2585992101314982,0.515963675255796,0.4110891382278852,0.1509433962264151,0.0374331550802139,187,180,32,7,212,True
ANCHORED,Cyclist,far_gt_40m,0.84038,,1.0,,,1.0,1,0,0,1,0,True
ANCHORED,Cyclist,occlusion_2,0.84038,0.7083168175356985,0.7379558175356985,0.7379558175356985,0.0,0.0,1,1,0,0,1,True
ANCHORED,Cyclist,overall,0.84038,0.12071895915106448,0.48698591635178584,0.1629770214160716,0.0,0.3870967741935484,31,19,0,12,19,True
ANCHORED,Cyclist,small_25_40,0.84038,0.7083168175356985,0.9126519391785662,0.7379558175356985,0.0,0.6666666666666666,3,1,0,2,1,True
ANCHORED,Pedestrian,far_gt_40m,0.392272,0.4445681647168583,0.8952697019705407,0.5287136588674333,0.75,0.3333333333333333,3,2,6,1,8,True
ANCHORED,Pedestrian,occlusion_2,0.392272,0.3568990375144431,0.8713805492723522,0.45336733440749677,0.5555555555555556,0.6666666666666666,12,4,5,8,9,True
ANCHORED,Pedestrian,overall,0.392272,0.10323637423764025,0.4899430577103252,0.18821923269389787,0.07792207792207792,0.3364485981308411,107,71,6,36,77,True
ANCHORED,Pedestrian,small_25_40,0.392272,0.3982864300473897,0.9005141536135126,0.40308492168107524,0.6666666666666666,0.75,12,3,6,9,9,True
B0,Car,far_gt_40m,0.369785,0.37972413878221606,0.5908457779487556,0.4447192700733113,0.24324324324324326,0.034482758620689655,58,56,18,2,74,True
B0,Car,occlusion_2,0.369785,0.5016995355344706,0.7104636407250723,0.6583887559633946,0.11464968152866242,0.04794520547945205,146,139,18,7,157,True
B0,Car,overall,0.369785,0.05703264702655645,0.25250663894799,0.15850138867370078,0.03522504892367906,0.08193668528864059,537,493,18,44,511,True
B0,Car,small_25_40,0.369785,0.2644050956567191,0.4775096612640819,0.3982555087591954,0.09183673469387756,0.0481283422459893,187,178,18,9,196,True
B0,Cyclist,far_gt_40m,0.421303,0.600917,1.0,,1.0,1.0,1,0,1,1,1,True
B0,Cyclist,occlusion_2,0.421303,0.6377325900555534,0.8616050900555534,0.7232101801111067,0.5,0.0,1,1,1,0,2,True
B0,Cyclist,overall,0.421303,0.10497351866194032,0.26495898220814146,0.15995312252359023,0.034482758620689655,0.0967741935483871,31,28,1,3,29,True
B0,Cyclist,small_25_40,0.421303,0.49075732691304186,0.7003580948707719,0.40071618974154394,0.3333333333333333,0.3333333333333333,3,2,1,1,3,True
B0,Pedestrian,far_gt_40m,0.353848,0.4158269803514227,0.8885247945727179,0.40546557105449593,0.8125,0.0,3,3,13,0,16,True
B0,Pedestrian,occlusion_2,0.353848,0.40095409597738485,0.9177645885306532,0.5065875311839201,0.75,0.6666666666666666,12,4,12,8,16,True
B0,Pedestrian,overall,0.353848,0.09875804194282897,0.49293285642919865,0.1993676680461032,0.14606741573033707,0.2897196261682243,107,76,13,31,89,True
B0,Pedestrian,small_25_40,0.353848,0.32168599164770095,0.7898631029673813,0.3433221967730665,0.6190476190476191,0.3333333333333333,12,8,13,4,21,True
B1,Car,far_gt_40m,0.31809,0.34833340153314574,0.6225432102847501,0.47685813355254847,0.2692307692307692,0.017241379310344827,58,57,21,1,78,True
B1,Car,occlusion_2,0.31809,0.47102719735694243,0.6814277465939614,0.6298280154084763,0.11801242236024845,0.0273972602739726,146,142,19,4,161,True
B1,Car,overall,0.31809,0.06322795134209976,0.26305139734001476,0.16944703853441181,0.04247104247104247,0.07635009310986965,537,496,22,41,518,True
B1,Car,small_25_40,0.31809,0.25880142926592636,0.4875500814034373,0.40739031760062305,0.10050251256281408,0.0427807486631016,187,179,20,8,199,True
B1,Cyclist,far_gt_40m,0.300628,0.41486100824026056,0.8917160082402605,0.3502960494415631,0.8333333333333334,0.0,1,1,5,0,6,True
B1,Cyclist,occlusion_2,0.300628,0.5547535516070973,0.9543192182737639,0.7259153096425834,0.8333333333333334,0.0,1,1,5,0,6,True
B1,Cyclist,overall,0.300628,0.1662300456804279,0.40329057555918535,0.17378695077425668,0.16129032258064516,0.16129032258064516,31,26,5,5,31,True
B1,Cyclist,small_25_40,0.300628,0.3701797820661614,0.7713759070661614,0.39033575217643035,0.625,0.0,3,3,5,0,8,True
B1,Pedestrian,far_gt_40m,0.343133,0.37501652466111457,0.8890618782809554,0.6117165739833438,0.6666666666666666,0.3333333333333333,3,2,4,1,6,True
B1,Pedestrian,occlusion_2,0.343133,0.3961117132819735,0.9203106870608634,0.5749903309912714,0.5714285714285714,0.75,12,3,4,9,7,True
B1,Pedestrian,overall,0.343133,0.08262499883543774,0.4508942800304426,0.2084320140698588,0.04938271604938271,0.2803738317757009,107,77,4,30,81,True
B1,Pedestrian,small_25_40,0.343133,0.22375516583949723,0.7883532007171421,0.4356085352457124,0.4,0.5,12,6,4,6,10,True
PLAIN,Car,far_gt_40m,0.277888,0.32497717326436587,0.6443810658137652,0.4475205843892423,0.3411764705882353,0.034482758620689655,58,56,29,2,85,True
PLAIN,Car,occlusion_2,0.277888,0.46792149376871517,0.7138712324535222,0.6469049251554105,0.16568047337278108,0.03424657534246575,146,141,28,5,169,True
PLAIN,Car,overall,0.277888,0.05840733842306087,0.2691178408421315,0.16744270176573442,0.05343511450381679,0.07635009310986965,537,496,28,41,524,True
PLAIN,Car,small_25_40,0.277888,0.26695533614682965,0.5095296203987684,0.4042308948346622,0.13658536585365855,0.053475935828877004,187,177,28,10,205,True
PLAIN,Cyclist,far_gt_40m,0.347098,0.24268841673458028,0.8094540834012469,0.42836225020374086,0.6666666666666666,0.0,1,1,2,0,3,True
PLAIN,Cyclist,occlusion_2,0.347098,0.5453182098190311,0.9084715431523644,0.7254146294570935,0.6666666666666666,0.0,1,1,2,0,3,True
PLAIN,Cyclist,overall,0.347098,0.13417589091953147,0.31901138271450435,0.1974062724849516,0.06666666666666667,0.0967741935483871,31,28,2,3,30,True
PLAIN,Cyclist,small_25_40,0.347098,0.2960335341465323,0.6959323341465323,0.4932205569108872,0.4,0.0,3,3,2,0,5,True
PLAIN,Pedestrian,far_gt_40m,0.372232,0.42575559220879516,0.9053604230062823,0.33752296104397617,0.8,0.6666666666666666,3,1,4,2,5,True
PLAIN,Pedestrian,occlusion_2,0.372232,0.34806964884048575,0.8858845744202428,0.5435382976809715,0.5,0.6666666666666666,12,4,4,8,8,True
