epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4476,2.52532,2.30281,3.14934,0.5771,0.5147,0.50471,0.24796,1.64313,1.32887,2.2789,0.00331738,0.00331738,0.0701435
2,55.6027,1.58633,1.31962,1.92145,0.71951,0.57783,0.66912,0.34776,1.48391,1.42804,1.86423,0.00643124,0.00643124,0.0399241
3,84.4578,1.42337,1.23688,1.64192,0.75567,0.63626,0.71301,0.40858,1.3492,1.45894,1.69698,0.0093251,0.0093251,0.00948459
4,112.947,1.34151,1.11422,1.51621,0.76475,0.67211,0.74121,0.44341,1.1973,1.01991,1.5032,0.00901,0.00901,0.00901
5,141.051,1.22717,0.9955,1.42328,0.85734,0.68733,0.80367,0.49671,1.13359,0.9854,1.44822,0.00868,0.00868,0.00868
6,168.664,1.17343,0.89753,1.37672,0.79302,0.722,0.79229,0.48398,1.15119,0.85712,1.42923,0.00835,0.00835,0.00835
7,196.608,1.13127,0.834,1.33077,0.82672,0.71793,0.81309,0.5224,1.03911,0.79815,1.36072,0.00802,0.00802,0.00802
8,224.67,1.08827,0.79013,1.30072,0.86383,0.7603,0.83831,0.52386,1.05945,0.73931,1.36048,0.00769,0.00769,0.00769
9,252.823,1.05165,0.75202,1.27525,0.83899,0.74385,0.82597,0.53092,1.02213,0.71898,1.34446,0.00736,0.00736,0.00736
10,280.345,1.02576,0.71668,1.25375,0.82926,0.76348,0.84061,0.55097,0.9692,0.67675,1.29326,0.00703,0.00703,0.00703
11,308.839,1.00214,0.69173,1.23509,0.86959,0.78454,0.87147,0.57607,0.95748,0.65979,1.27889,0.0067,0.0067,0.0067
12,337.254,0.96828,0.66489,1.20714,0.90308,0.77747,0.87787,0.58701,0.94131,0.63601,1.27742,0.00637,0.00637,0.00637
13,365.66,0.93897,0.63722,1.19915,0.87994,0.77284,0.8747,0.57892,0.92816,0.61117,1.25836,0.00604,0.00604,0.00604
14,393.388,0.93633,0.62899,1.18936,0.89502,0.77183,0.87282,0.5964,0.91227,0.6043,1.25377,0.00571,0.00571,0.00571
15,421.581,0.91517,0.60938,1.17399,0.89205,0.80125,0.88992,0.6085,0.8828,0.56483,1.22236,0.00538,0.00538,0.00538
16,449.788,0.88787,0.59117,1.1561,0.89915,0.81432,0.89426,0.61239,0.8737,0.56368,1.22162,0.00505,0.00505,0.00505
17,477.867,0.86959,0.56811,1.14132,0.89138,0.82159,0.89871,0.60978,0.87577,0.55906,1.21762,0.00472,0.00472,0.00472
18,506,0.8569,0.56328,1.13607,0.87981,0.84545,0.89657,0.61727,0.85441,0.54416,1.20251,0.00439,0.00439,0.00439
19,533.857,0.83808,0.54538,1.12409,0.89715,0.82383,0.89529,0.62729,0.82673,0.52086,1.1858,0.00406,0.00406,0.00406
20,561.864,0.81529,0.52851,1.10774,0.90291,0.83172,0.91033,0.63586,0.81757,0.5152,1.18411,0.00373,0.00373,0.00373
21,590.877,0.79996,0.51861,1.11259,0.91736,0.82161,0.90085,0.63178,0.83813,0.52874,1.19429,0.0034,0.0034,0.0034
22,619.029,0.78469,0.50417,1.09817,0.90171,0.83447,0.91043,0.63227,0.84161,0.52544,1.20334,0.00307,0.00307,0.00307
23,647.093,0.77078,0.49021,1.09007,0.91133,0.83606,0.90581,0.63152,0.83017,0.51259,1.18797,0.00274,0.00274,0.00274
24,675.324,0.74816,0.47705,1.07992,0.91867,0.83115,0.91523,0.6494,0.81409,0.50745,1.18038,0.00241,0.00241,0.00241
25,703.448,0.73123,0.46298,1.06678,0.92567,0.83553,0.91822,0.645,0.81525,0.50505,1.18045,0.00208,0.00208,0.00208
26,731.209,0.71454,0.45382,1.05053,0.91158,0.85214,0.9171,0.65827,0.79264,0.48425,1.16571,0.00175,0.00175,0.00175
27,759.695,0.69918,0.44396,1.03961,0.9304,0.85548,0.91979,0.66594,0.76549,0.47235,1.14544,0.00142,0.00142,0.00142
28,787.79,0.68985,0.43488,1.03081,0.93847,0.84517,0.92794,0.67226,0.76689,0.46867,1.14855,0.00109,0.00109,0.00109
29,815.863,0.66316,0.42549,1.01474,0.94358,0.84475,0.92518,0.67035,0.75324,0.45804,1.13734,0.00076,0.00076,0.00076
30,844.358,0.65074,0.41384,1.01208,0.95302,0.84833,0.92734,0.68406,0.74184,0.45444,1.13352,0.00043,0.00043,0.00043
