run,decision,failed_gates,overall,small,far,near,large,delta_overall,delta_small,delta_far,delta_near,delta_large,pedestrian_overall,cyclist_overall
PLAIN,BASELINE,,85.9182635491459,29.085361655460694,17.71830738651242,91.33524407979871,93.67441110054963,0.0,0.0,0.0,0.0,0.0,81.55907288420515,90.27745421408665
B0,NO_GO,far,87.77709415284292,33.789993072787894,9.999773798547299,92.17684080927233,94.27833481172387,1.8588306036970152,4.7046314173271995,-7.718533587965123,0.841596729473622,0.6039237111742324,83.53452947019306,92.01965883549276
B1,NO_GO,small;far;near,87.8079285567409,27.22063497179763,16.834120901665305,90.523627075888,94.3827570309021,1.8896650075949992,-1.864726683663065,-0.8841864848471168,-0.8116170039107118,0.7083459303524648,84.26699886791704,91.34885824556477
ANCHORED,NO_GO,overall;small;far;near,85.97448398665945,22.757992927164032,6.117415922415134,89.05374053039344,93.88256533519956,0.05622043751354511,-6.327368728296662,-11.600891464097288,-2.2815035494052722,0.20815423464992477,83.10579163973927,88.84317633357963
