manifest_sha256,class_name,base_tp,a_tp,b_tp,base_fp,a_fp,b_fp,a_only_rescue,b_only_rescue,overlap_rescue,a_harm,b_harm,rescue_jaccard,overlap_min_rescue_ratio,a_fp_delta,b_fp_delta,a_duplicate_delta,b_duplicate_delta,a_tp_fp_delta_correlation,b_tp_fp_delta_correlation,ap40_a_ci_lower,ap40_a_ci_upper,ap40_b_ci_lower,ap40_b_ci_upper
ace2a099d3cd8d32bd7d9d0c3fdf195f274aa889e4c4ebcccbb0c1187cdadd9d,Cyclist,55,55,55,1058,1039,1208,0,0,0,0,0,0.0,0.0,-19,150,-12,-7,,,-3.3542168172127855,4.782631909556675,-6.8320360582722115,3.928044499972393
ace2a099d3cd8d32bd7d9d0c3fdf195f274aa889e4c4ebcccbb0c1187cdadd9d,Pedestrian,195,199,197,2142,2387,2054,0,1,4,0,3,0.8,1.0,245,-88,-3,-7,0.11661961268493687,0.07269017779062298,-0.5305022563398369,5.869676758476737,-1.6447815145993887,4.79141984165454
