seed,estimand,slice,plain_ap_r40,dcli_ap_r40,plain_minus_dcli_ap_r40
0,macro,small_25_40,60.49540723362796,61.22014558652724,-0.7247383528992799
1,macro,small_25_40,70.91357320725137,46.66866450069271,24.244908706558668
2,macro,small_25_40,71.08834171160028,55.68780427283035,15.40053743876993
3,macro,small_25_40,69.1891282478006,54.733976783661916,14.45515146413868
4,macro,small_25_40,65.9856486658798,63.27422426644717,2.711424399432623
0,macro,far_gt_40m,42.5419791575051,48.12889275453855,-5.586913597033451
1,macro,far_gt_40m,63.97483310950934,40.16455782312925,23.81027528638009
2,macro,far_gt_40m,60.77299622860214,59.573752399688274,1.1992438289138647
3,macro,far_gt_40m,61.293687317501465,32.073225085091096,29.22046223241037
4,macro,far_gt_40m,60.00023312790293,58.378280074571634,1.6219530533312962
0,macro,large_gt_80,97.30479096127141,97.43315391109012,-0.12836294981870822
1,macro,large_gt_80,97.67701809173045,95.63546401492562,2.041554076804829
2,macro,large_gt_80,96.61004402108028,96.65707178581826,-0.047027764737975986
3,macro,large_gt_80,97.11006383647658,97.20771217683608,-0.09764834035949832
4,macro,large_gt_80,96.90183059165261,96.42864912071148,0.47318147094112817
0,macro,near_0_20m,96.96692288845739,96.60505772711963,0.3618651613377608
1,macro,near_0_20m,97.47525321626568,95.97015790814582,1.5050953081198628
2,macro,near_0_20m,95.98450884993953,95.12468068609644,0.8598281638430905
3,macro,near_0_20m,96.82681333527091,95.56641039567114,1.2604029395997713
4,macro,near_0_20m,96.71554137203677,96.51511955824627,0.2004218137904985
0,Pedestrian,small_25_40,48.6201248120835,39.236268184548734,9.383856627534769
1,Pedestrian,small_25_40,58.847694359708235,34.410802283828154,24.43689207588008
2,Pedestrian,small_25_40,56.28958664900701,37.89076006081222,18.398826588194794
3,Pedestrian,small_25_40,54.76123521900545,47.01530205217232,7.745933166833126
4,Pedestrian,small_25_40,51.71054464358756,42.827518300336195,8.883026343251366
0,Pedestrian,far_gt_40m,18.417291648343543,12.924452175743747,5.492839472599796
1,Pedestrian,far_gt_40m,27.949666219018685,13.662448979591838,14.287217239426846
2,Pedestrian,far_gt_40m,21.54599245720427,19.147504799376556,2.3984876578277152
3,Pedestrian,far_gt_40m,22.587374635002934,19.1464501701822,3.4409244648207356
4,Pedestrian,far_gt_40m,20.00046625580587,16.75656014914327,3.2439061066625996
0,Pedestrian,large_gt_80,94.60958192254282,94.86630782218023,-0.25672589963741643
1,Pedestrian,large_gt_80,95.35403618346088,91.49820075712395,3.855835426336924
2,Pedestrian,large_gt_80,93.22008804216058,93.31414357163652,-0.09405552947593776
3,Pedestrian,large_gt_80,94.22012767295317,94.41542435367218,-0.19529668071901085
4,Pedestrian,large_gt_80,93.80366118330521,92.85729824142297,0.9463629418822421
0,Pedestrian,near_0_20m,94.55645114089944,94.33211981153774,0.22433132936170352
1,Pedestrian,near_0_20m,95.29533401873827,92.38674438772023,2.908589631018046
2,Pedestrian,near_0_20m,93.68605066691202,93.61118473401623,0.07486593289578991
3,Pedestrian,near_0_20m,93.99845425674872,94.6418298003513,-0.6433755436025876
4,Pedestrian,near_0_20m,93.93108274407356,93.37506670269944,0.5560160413741215
0,Cyclist,small_25_40,72.37068965517241,83.20402298850574,-10.833333333333329
1,Cyclist,small_25_40,82.97945205479452,58.92652671755726,24.052925337237262
2,Cyclist,small_25_40,85.88709677419354,73.48484848484848,12.402248289345053
3,Cyclist,small_25_40,83.61702127659575,62.452651515151516,21.164369761444235
4,Cyclist,small_25_40,80.26075268817203,83.72093023255815,-3.460177544386113
0,Cyclist,far_gt_40m,66.66666666666666,83.33333333333334,-16.666666666666686
1,Cyclist,far_gt_40m,100.0,66.66666666666666,33.33333333333334
2,Cyclist,far_gt_40m,100.0,100.0,0.0
3,Cyclist,far_gt_40m,100.0,45.0,55.0
4,Cyclist,far_gt_40m,100.0,100.0,0.0
0,Cyclist,large_gt_80,100.0,100.0,0.0
1,Cyclist,large_gt_80,100.0,99.77272727272727,0.22727272727273373
2,Cyclist,large_gt_80,100.0,100.0,0.0
3,Cyclist,large_gt_80,100.0,100.0,0.0
4,Cyclist,large_gt_80,100.0,100.0,0.0
0,Cyclist,near_0_20m,99.37739463601534,98.8779956427015,0.4993989933138323
1,Cyclist,near_0_20m,99.6551724137931,99.55357142857142,0.10160098522167971
2,Cyclist,near_0_20m,98.28296703296704,96.63817663817665,1.644790394790391
3,Cyclist,near_0_20m,99.6551724137931,96.49099099099098,3.164181422802116
4,Cyclist,near_0_20m,99.49999999999999,99.6551724137931,-0.1551724137931103
