task_id,class_name,slice_name,requested_iterations,effective_iterations,skipped_no_valid_target_resamples,reference_ap40,candidate_ap40,difference_ap40,ci_lower,ci_upper,probability_improvement,wrapper_state,artifact_status,artifact_sha256
B1_vs_ANCHORED__s0__Pedestrian__small_25_40,Pedestrian,small_25_40,1000,1000,0,22.84470753860893,17.742912670675533,-5.101794867933396,-12.006986011009678,2.4664213672853426,0.093,complete,valid_full_effective_replicates,7251f93609cf5ca6a7e4e75fbe1c1bf0d7a2299b1d07fbb9b327f905746e786a
B1_vs_ANCHORED__s0__Pedestrian__far_gt_40m,Pedestrian,far_gt_40m,1000,1000,0,8.668241803330607,8.886617559115983,0.2183757557853756,-8.559626795180526,6.896262687818298,0.657,complete,valid_full_effective_replicates,5793a02df6704fdf53267599fd6c0f7790047fd61265c02d5355fb361b11e71f
B1_vs_ANCHORED__s0__Pedestrian__near_0_20m,Pedestrian,near_0_20m,1000,1000,0,89.04294138548642,89.08035325564182,0.03741187015540959,-2.2449103765065734,2.2839398894201266,0.547,complete,valid_full_effective_replicates,c98789bfb8c120c020f19276e91f63ae07d23d37a002f952e8b63a50b6ff9714
B1_vs_ANCHORED__s0__Pedestrian__large_gt_80,Pedestrian,large_gt_80,1000,1000,0,88.7655140618042,88.50587141113984,-0.259642650664361,-2.872633454516133,2.0766515543894224,0.405,complete,valid_full_effective_replicates,cd7c41d4753772cdaca53f896d959ee3a227571bc4f101336d3ad529c59a6ff7
B1_vs_ANCHORED__s0__Cyclist__small_25_40,Cyclist,small_25_40,1000,1000,0,31.596562404986326,27.773073183652535,-3.8234892213337908,-33.42635810607135,17.920926862189976,0.36,complete,valid_full_effective_replicates,9ef0dc1f2b562773628b6acc640ffe2267b9b25194fa4e4b7be6c98ed72d7230
B1_vs_ANCHORED__s0__Cyclist__far_gt_40m,Cyclist,far_gt_40m,1000,868,132,25.0,3.3482142857142847,-21.651785714285715,-54.96059113300489,-7.334795321637436,0.0,failed,valid_sparse_effective_replicates,03f0fffeb963709b29d3ba30efd212584dcfb1e94f728c33b837497b655ce4e9
B1_vs_ANCHORED__s0__Cyclist__near_0_20m,Cyclist,near_0_20m,1000,1000,0,92.00431276628959,89.02712780514506,-2.9771849611445305,-7.374164637512056,1.1151482641071764,0.146,complete,valid_full_effective_replicates,9e8611e20fa86c931e48a77248b0274f509cf5bc4244f142159d753e1d5b7970
B1_vs_ANCHORED__s0__Cyclist__large_gt_80,Cyclist,large_gt_80,1000,1000,0,100.0,99.25925925925927,-0.7407407407407334,-3.8047252415459187,0.0,0.0,complete,valid_full_effective_replicates,e4abd9034358d5dd1d1b3539470abc9bb438d47cbe97da7c3962246e3c4d5c0b
