epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8126,2.64813,2.33237,3.2504,0.54696,0.54708,0.50623,0.2452,1.69593,1.34784,2.40208,0.00331738,0.00331738,0.0701435
2,63.0917,1.57845,1.31539,1.91221,0.80083,0.57033,0.68741,0.37754,1.40136,1.31129,1.79128,0.00643124,0.00643124,0.0399241
3,97.5946,1.40963,1.22043,1.61808,0.77072,0.63855,0.72468,0.41817,1.22776,1.44838,1.59329,0.0093251,0.0093251,0.00948459
4,132.506,1.32153,1.12009,1.49922,0.79758,0.66795,0.75359,0.45232,1.1993,1.04835,1.52661,0.00901,0.00901,0.00901
5,165.968,1.22824,0.99363,1.42204,0.8574,0.7047,0.80587,0.50156,1.11033,0.88891,1.42215,0.00868,0.00868,0.00868
6,199.348,1.17009,0.88926,1.37063,0.82176,0.69348,0.79741,0.49286,1.10241,0.81493,1.41235,0.00835,0.00835,0.00835
7,233.01,1.12349,0.82984,1.32413,0.81685,0.75511,0.82059,0.51624,1.08053,0.81799,1.39362,0.00802,0.00802,0.00802
8,268.083,1.08433,0.78456,1.29752,0.89303,0.7546,0.84015,0.5406,1.03024,0.73152,1.35393,0.00769,0.00769,0.00769
9,302.579,1.04637,0.75006,1.27139,0.84599,0.75127,0.84394,0.54434,1.00428,0.73451,1.33187,0.00736,0.00736,0.00736
10,336.561,1.02213,0.71586,1.25285,0.89327,0.74056,0.85971,0.55576,0.97329,0.66754,1.30087,0.00703,0.00703,0.00703
11,370.809,0.99832,0.68906,1.23393,0.86155,0.76539,0.85829,0.56633,0.95148,0.67174,1.27837,0.0067,0.0067,0.0067
12,407.12,0.96249,0.65935,1.2034,0.90422,0.78114,0.87986,0.59167,0.93589,0.61372,1.26093,0.00637,0.00637,0.00637
13,442.383,0.93724,0.63373,1.1963,0.88527,0.8087,0.88657,0.5943,0.91218,0.59965,1.25571,0.00604,0.00604,0.00604
14,477.663,0.9298,0.62336,1.18344,0.86343,0.81902,0.88504,0.60391,0.91868,0.59389,1.24446,0.00571,0.00571,0.00571
15,514.725,0.91022,0.60766,1.16953,0.8678,0.80835,0.8835,0.59618,0.893,0.58156,1.23599,0.00538,0.00538,0.00538
16,550.185,0.88782,0.5904,1.15639,0.91193,0.79552,0.8814,0.61156,0.87197,0.56784,1.22219,0.00505,0.00505,0.00505
17,588.833,0.86526,0.56509,1.13825,0.89004,0.83297,0.89736,0.61813,0.86457,0.54634,1.20967,0.00472,0.00472,0.00472
18,625.807,0.85385,0.55786,1.13124,0.92098,0.81033,0.90104,0.62567,0.84697,0.53737,1.19606,0.00439,0.00439,0.00439
19,660.724,0.83176,0.54222,1.11841,0.89103,0.83882,0.90618,0.63812,0.82778,0.52567,1.18887,0.00406,0.00406,0.00406
20,699.265,0.81478,0.52271,1.10675,0.90944,0.85372,0.9167,0.65274,0.81823,0.51755,1.18179,0.00373,0.00373,0.00373
21,737.08,0.79305,0.51181,1.11074,0.90266,0.83712,0.90482,0.63201,0.85033,0.52375,1.19954,0.0034,0.0034,0.0034
22,771.55,0.78088,0.50025,1.09751,0.92441,0.82298,0.89917,0.64082,0.8378,0.5225,1.19672,0.00307,0.00307,0.00307
23,806.2,0.76807,0.48911,1.08983,0.90211,0.82075,0.90023,0.64906,0.81056,0.51833,1.17502,0.00274,0.00274,0.00274
24,840.971,0.74753,0.47674,1.07965,0.92016,0.83955,0.91787,0.65576,0.79708,0.50267,1.16598,0.00241,0.00241,0.00241
25,875.338,0.73163,0.46225,1.06936,0.9094,0.85805,0.91431,0.66179,0.79876,0.49591,1.16718,0.00208,0.00208,0.00208
26,909.396,0.71006,0.45218,1.04745,0.90015,0.85205,0.91708,0.66817,0.77945,0.4809,1.15682,0.00175,0.00175,0.00175
27,943.602,0.70083,0.44135,1.04219,0.92923,0.83723,0.9226,0.66949,0.75533,0.46358,1.1352,0.00142,0.00142,0.00142
28,978.179,0.68426,0.42955,1.02925,0.92224,0.84932,0.92261,0.671,0.74489,0.46343,1.12936,0.00109,0.00109,0.00109
29,1012.86,0.6624,0.42254,1.01526,0.94107,0.85467,0.92602,0.67573,0.74618,0.458,1.13196,0.00076,0.00076,0.00076
30,1048.03,0.6475,0.41153,1.0098,0.9327,0.84568,0.92815,0.6806,0.7392,0.45108,1.12532,0.00043,0.00043,0.00043
